store_id,store_name,address,status,place_id_returned,elapsed_s,note
352b5449-43ae-47d9-8fd7-b2537c4fee62,퍼스트보드게임카페 부평점,인천 부평구 부평동 193-7 3층,place_not_found,,44.4,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
91005808-8443-491a-9c84-27ce22ce81d4,인쌩맥주 인천주안역점,인천 미추홀구 주안동 139-5,error,,32.4,불완전 렌더 — DB 기존 데이터 보존
77e9b42e-30d9-4fe1-9633-e1ac2334088b,또와또와,인천 미추홀구 도화동 80-129 1층,place_not_found,,44.3,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
5fc43e5b-847b-44d1-a19f-2ff808d07954,두껍집 부천소사점,경기 부천시 소사구 소사본동 424,collected,2013569764,39.1,
7aa4161f-5af2-40a2-85dc-58ad051a3a17,전주할매집 연수점,인천 연수구 연수동 631 1층,place_not_found,,44.5,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
a15c5ac4-05fe-41c9-a8ef-43d64a45a8b2,오이도조개수산 지패정,경기 시흥시 정왕동 2030-10 1층 2층,place_not_found,,44.4,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
5b2359dc-afb8-4be0-a6a2-81fd22ddaf3f,육회한통닭 소사점,경기 부천시 소사구 소사본동 68-23,error,,31.4,불완전 렌더 — DB 기존 데이터 보존
e26a2726-6389-49e7-962a-22d347a3e883,대부도포도빵,경기 안산시 단원구 대부북동 1844-5,collected,1801010210,37.6,
1d44d82b-2fe6-4ccb-8d6f-9cd1e0b52220,강화섬설렁탕,인천 강화군 길상면 온수리 665-10,collected,32029138,38.3,
9921979f-5619-456e-916b-daf358048a5f,유진씨앗호떡,경기 안산시 단원구 선부동 1087-31 신협빌딩 101-1호,place_not_found,,44.3,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
7894c46d-9b31-4667-bed1-6cf10458a7f9,제일흑염소,인천 부평구 갈산동 378-13,collected,1475926798,37.9,
31499265-b1ea-4252-a40e-4065b2770b60,원시인쪽갈비 부평점,인천 부평구 부평동 885-8,place_not_found,,44.8,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
f05f9243-941b-4a79-951e-a32ef37b8b8e,미나리숙성삼겹살,인천 남동구 간석동 39-8,collected,1399611600,38.4,
7afe4a47-e0d2-4143-a9a2-23e2ff7e975d,모밀락,인천 남동구 구월동 1146-5,collected,1850337046,40.2,
e49daaee-71f6-4b14-8687-23ad6344d4c4,두니아카페,인천 옹진군 영흥면 내리 199-5,collected,1874000712,38.8,
1bb2ea8e-797f-45ec-abf3-ad0fdc57b227,원조닭똥집,인천광역시 연수구 연수2동 607-5,collected,11711171,39.2,
53f703de-2741-4a97-a800-dcf2b1ebafee,대왕판떡볶이 송도트리플점,"인천 연수구 송도과학로28번길 50  (송도동, 더샵 송도트리플타워 West) 1층 135호",place_not_found,,44.3,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
29f476a4-9d4b-4f85-89c5-622949bd5575,꼬꼬마래집,경기 부천시 원미구 도당동 180-6 1층,place_not_found,,44.1,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
36f2ec7e-271c-4307-b282-e1a28ed47704,핫도그대마왕,인천 강화군 강화읍 신문리 719,place_not_found,,44.6,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
9f6aef85-10fb-4968-b1cf-95a48cc3a87e,손정혜식당 제부도 본점,경기 화성시 서신면 장외리 549-5,place_not_found,,44.4,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
7c62f215-ae1d-4c13-8f9a-429cdcd027a5,국밥대장 검암1지구점,인천 서구 검암동 661-2,error,,31.4,불완전 렌더 — DB 기존 데이터 보존
4611b230-6b03-4e04-b701-8f9a997b0b84,사운즈오브선셋,"인천 중구 하늘달빛로2번길 8  (중산동, 씨사이드파크 카페테리아) 2층",place_not_found,,44.3,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
875c6dbf-e98b-40fe-b623-f6ca5fff17b1,찐미우육면 부평점,인천 부평구 부평동 653-27 1층,place_not_found,,46.5,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
a0f5051e-50bc-4326-b3eb-c7cbab40838e,마선생마약국밥 안산초지점,경기 안산시 단원구 초지동 740-2,error,,31.8,불완전 렌더 — DB 기존 데이터 보존
b56c7cb8-ede7-467e-a269-43fae439ea32,투나볼링,"경기 부천시 부일로 223  (상동, 뉴코아중동백화점) 투나쇼핑몰 11층",place_not_found,,45.0,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
05fac7a5-b56b-4f73-b508-321fb17ebeb4,명태어장&쭈갑골 영종점,인천 중구 운서동 3047-20 1층,place_not_found,,44.7,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
b62e63c5-84d3-4fae-bdc6-92ca9e9ced73,밥뜨락,"경기 부천시 원미구 부천로198번길 36  (춘의동, 춘의테크노파크)",place_not_found,,44.1,네이버 플레이스에서 점포를 찾지 못했습니다. 상호·주소를 확인하거나 place_id로 직접 입력하세요.
f7349872-c2c6-4de7-af1b-22c96b0029e5,꼬꼬마찬,경기 부천시 중동 595-9,error,,32.1,불완전 렌더 — DB 기존 데이터 보존
dc387ae8-8824-4383-b318-cc9d627bf4d0,스시분초,인천 서구 서곶로314번길 9  (심곡동),collected,35603787,38.0,
